TRIPID,PERSID,HHID,STARTIME,TRIPTIME,WAITIME,CUMDIST,STOPS,ORIGLGA,TRAVDOW,Mode_Group,TRIPPURP,ActualStartTime
Y17H2400123P01T04,Y17H2400123P01,Y17H2400123,1020,10,0,0.43,1,Casey (C),Tuesday,Walking,Buy Something,1900-00-01 17:00:00
Y17H2400123P01T05,Y17H2400123P01,Y17H2400123,1060,10,0,0.42,1,Casey (C),Tuesday,Walking,Buy Something,1900-00-01 17:40:00
Y17H2400123P02T02,Y17H2400123P02,Y17H2400123,520,60,0,34.22,1,Casey (C),Tuesday,Other,Recreational,1900-00-01 08:40:00
Y17H2400124P01T01,Y17H2400124P01,Y17H2400124,425,30,0,2.33,1,Casey (C),Wednesday,Walking,Recreational,1900-00-01 07:05:00
Y17H2400124P01T02,Y17H2400124P01,Y17H2400124,485,30,0,2.33,1,Casey (C),Wednesday,Walking,Recreational,1900-00-01 08:05:00
Y17H2400124P01T05,Y17H2400124P01,Y17H2400124,630,30,0,5.6,1,Casey (C),Wednesday,Vehicle Driver,Social,1900-00-01 10:30:00
Y17H2400124P01T06,Y17H2400124P01,Y17H2400124,810,30,0,6.56,1,Casey (C),Wednesday,Vehicle Driver,Social,1900-00-01 13:30:00
Y17H2400125P01T02,Y17H2400125P01,Y17H2400125,680,15,0,9.38,1,Casey (C),Thursday,Vehicle Passenger,Social,1900-00-01 11:20:00
Y17H2400125P01T03,Y17H2400125P01,Y17H2400125,695,10,0,3.71,1,Casey (C),Thursday,Vehicle Passenger,Buy Something,1900-00-01 11:35:00
Y17H2400125P01T04,Y17H2400125P01,Y17H2400125,750,7,0,1.18,1,Casey (C),Thursday,Vehicle Passenger,Buy Something,1900-00-01 12:30:00
Y17H2400125P01T05,Y17H2400125P01,Y17H2400125,835,22,0,6.97,1,Casey (C),Thursday,Vehicle Passenger,Social,1900-00-01 13:55:00
Y17H2400125P01T06,Y17H2400125P01,Y17H2400125,868,14,0,6.99,1,Casey (C),Thursday,Vehicle Passenger,Social,1900-00-01 14:28:00
Y17H2400126P01T01,Y17H2400126P01,Y17H2400126,420,5,0,2.6,1,Casey (C),Friday,Vehicle Driver,Social,1900-00-01 07:00:00
Y17H2400126P01T02,Y17H2400126P01,Y17H2400126,480,30,0,15.56,1,Casey (C),Friday,Vehicle Driver,Social,1900-00-01 08:00:00
Y17H2400126P01T03,Y17H2400126P01,Y17H2400126,1020,30,0,15.52,1,Frankston (C),Friday,Vehicle Driver,Social,1900-00-01 17:00:00
Y17H2400126P01T04,Y17H2400126P01,Y17H2400126,1195,5,0,2.37,1,Casey (C),Friday,Vehicle Driver,Social,1900-00-01 19:55:00
Y17H2400130P01T01,Y17H2400130P01,Y17H2400130,360,30,0,9.44,1,Casey (C),Tuesday,Vehicle Driver,Social,1900-00-01 06:00:00
Y17H2400130P01T03,Y17H2400130P01,Y17H2400130,455,5,0,0.27,1,Casey (C),Tuesday,Vehicle Driver,Social,1900-00-01 07:35:00
Y17H2400131P01T01,Y17H2400131P01,Y17H2400131,570,5,0,1.24,1,Casey (C),Wednesday,Walking,Buy Something,1900-00-01 09:30:00
Y17H2400131P01T02,Y17H2400131P01,Y17H2400131,630,10,0,1.24,1,Casey (C),Wednesday,Walking,Buy Something,1900-00-01 10:30:00
